|                             |    Rows |   Columns |   Missing Values |   Duplicate Rows | Column Names                                                                                                                                                                                                                                                                                | Sample Rows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| m_regular_season_detailed   |  117748 |        34 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT', 'WFGM', 'WFGA', 'WFGM3', 'WFGA3', 'WFTM', 'WFTA', 'WOR', 'WDR', 'WAst', 'WTO', 'WStl', 'WBlk', 'WPF', 'LFGM', 'LFGA', 'LFGM3', 'LFGA3', 'LFTM', 'LFTA', 'LOR', 'LDR', 'LAst', 'LTO', 'LStl', 'LBlk', 'LPF'] | [{'Season': 2003, 'DayNum': 10, 'WTeamID': 1104, 'WScore': 68, 'LTeamID': 1328, 'LScore': 62, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 27, 'WFGA': 58, 'WFGM3': 3, 'WFGA3': 14, 'WFTM': 11, 'WFTA': 18, 'WOR': 14, 'WDR': 24, 'WAst': 13, 'WTO': 23, 'WStl': 7, 'WBlk': 1, 'WPF': 22, 'LFGM': 22, 'LFGA': 53, 'LFGM3': 2, 'LFGA3': 10, 'LFTM': 16, 'LFTA': 22, 'LOR': 10, 'LDR': 22, 'LAst': 8, 'LTO': 18, 'LStl': 9, 'LBlk': 2, 'LPF': 20}, {'Season': 2003, 'DayNum': 10, 'WTeamID': 1272, 'WScore': 70, 'LTeamID': 1393, 'LScore': 63, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 26, 'WFGA': 62, 'WFGM3': 8, 'WFGA3': 20, 'WFTM': 10, 'WFTA': 19, 'WOR': 15, 'WDR': 28, 'WAst': 16, 'WTO': 13, 'WStl': 4, 'WBlk': 4, 'WPF': 18, 'LFGM': 24, 'LFGA': 67, 'LFGM3': 6, 'LFGA3': 24, 'LFTM': 9, 'LFTA': 20, 'LOR': 20, 'LDR': 25, 'LAst': 7, 'LTO': 12, 'LStl': 8, 'LBlk': 6, 'LPF': 16}, {'Season': 2003, 'DayNum': 11, 'WTeamID': 1266, 'WScore': 73, 'LTeamID': 1437, 'LScore': 61, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 24, 'WFGA': 58, 'WFGM3': 8, 'WFGA3': 18, 'WFTM': 17, 'WFTA': 29, 'WOR': 17, 'WDR': 26, 'WAst': 15, 'WTO': 10, 'WStl': 5, 'WBlk': 2, 'WPF': 25, 'LFGM': 22, 'LFGA': 73, 'LFGM3': 3, 'LFGA3': 26, 'LFTM': 14, 'LFTA': 23, 'LOR': 31, 'LDR': 22, 'LAst': 9, 'LTO': 12, 'LStl': 2, 'LBlk': 5, 'LPF': 23}, {'Season': 2003, 'DayNum': 11, 'WTeamID': 1296, 'WScore': 56, 'LTeamID': 1457, 'LScore': 50, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 18, 'WFGA': 38, 'WFGM3': 3, 'WFGA3': 9, 'WFTM': 17, 'WFTA': 31, 'WOR': 6, 'WDR': 19, 'WAst': 11, 'WTO': 12, 'WStl': 14, 'WBlk': 2, 'WPF': 18, 'LFGM': 18, 'LFGA': 49, 'LFGM3': 6, 'LFGA3': 22, 'LFTM': 8, 'LFTA': 15, 'LOR': 17, 'LDR': 20, 'LAst': 9, 'LTO': 19, 'LStl': 4, 'LBlk': 3, 'LPF': 23}, {'Season': 2003, 'DayNum': 11, 'WTeamID': 1400, 'WScore': 77, 'LTeamID': 1208, 'LScore': 71, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 30, 'WFGA': 61, 'WFGM3': 6, 'WFGA3': 14, 'WFTM': 11, 'WFTA': 13, 'WOR': 17, 'WDR': 22, 'WAst': 12, 'WTO': 14, 'WStl': 4, 'WBlk': 4, 'WPF': 20, 'LFGM': 24, 'LFGA': 62, 'LFGM3': 6, 'LFGA3': 16, 'LFTM': 17, 'LFTA': 27, 'LOR': 21, 'LDR': 15, 'LAst': 12, 'LTO': 10, 'LStl': 7, 'LBlk': 1, 'LPF': 14}]            |
| w_regular_season_detailed   |   80626 |        34 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT', 'WFGM', 'WFGA', 'WFGM3', 'WFGA3', 'WFTM', 'WFTA', 'WOR', 'WDR', 'WAst', 'WTO', 'WStl', 'WBlk', 'WPF', 'LFGM', 'LFGA', 'LFGM3', 'LFGA3', 'LFTM', 'LFTA', 'LOR', 'LDR', 'LAst', 'LTO', 'LStl', 'LBlk', 'LPF'] | [{'Season': 2010, 'DayNum': 11, 'WTeamID': 3103, 'WScore': 63, 'LTeamID': 3237, 'LScore': 49, 'WLoc': 'H', 'NumOT': 0, 'WFGM': 23, 'WFGA': 54, 'WFGM3': 5, 'WFGA3': 9, 'WFTM': 12, 'WFTA': 19, 'WOR': 10, 'WDR': 26, 'WAst': 14, 'WTO': 18, 'WStl': 7, 'WBlk': 0, 'WPF': 15, 'LFGM': 20, 'LFGA': 54, 'LFGM3': 3, 'LFGA3': 13, 'LFTM': 6, 'LFTA': 10, 'LOR': 11, 'LDR': 27, 'LAst': 11, 'LTO': 23, 'LStl': 7, 'LBlk': 6, 'LPF': 19}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3104, 'WScore': 73, 'LTeamID': 3399, 'LScore': 68, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 26, 'WFGA': 62, 'WFGM3': 5, 'WFGA3': 12, 'WFTM': 16, 'WFTA': 28, 'WOR': 16, 'WDR': 31, 'WAst': 15, 'WTO': 20, 'WStl': 5, 'WBlk': 2, 'WPF': 25, 'LFGM': 25, 'LFGA': 63, 'LFGM3': 4, 'LFGA3': 21, 'LFTM': 14, 'LFTA': 27, 'LOR': 14, 'LDR': 26, 'LAst': 7, 'LTO': 20, 'LStl': 4, 'LBlk': 2, 'LPF': 27}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3110, 'WScore': 71, 'LTeamID': 3224, 'LScore': 59, 'WLoc': 'A', 'NumOT': 0, 'WFGM': 29, 'WFGA': 62, 'WFGM3': 6, 'WFGA3': 15, 'WFTM': 7, 'WFTA': 12, 'WOR': 14, 'WDR': 23, 'WAst': 18, 'WTO': 13, 'WStl': 6, 'WBlk': 2, 'WPF': 17, 'LFGM': 19, 'LFGA': 58, 'LFGM3': 2, 'LFGA3': 14, 'LFTM': 19, 'LFTA': 23, 'LOR': 17, 'LDR': 23, 'LAst': 8, 'LTO': 15, 'LStl': 6, 'LBlk': 0, 'LPF': 15}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3111, 'WScore': 63, 'LTeamID': 3267, 'LScore': 58, 'WLoc': 'A', 'NumOT': 0, 'WFGM': 27, 'WFGA': 52, 'WFGM3': 4, 'WFGA3': 11, 'WFTM': 5, 'WFTA': 9, 'WOR': 6, 'WDR': 40, 'WAst': 14, 'WTO': 27, 'WStl': 5, 'WBlk': 10, 'WPF': 18, 'LFGM': 18, 'LFGA': 74, 'LFGM3': 6, 'LFGA3': 26, 'LFTM': 16, 'LFTA': 25, 'LOR': 22, 'LDR': 22, 'LAst': 15, 'LTO': 11, 'LStl': 14, 'LBlk': 5, 'LPF': 14}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3119, 'WScore': 74, 'LTeamID': 3447, 'LScore': 70, 'WLoc': 'H', 'NumOT': 1, 'WFGM': 30, 'WFGA': 74, 'WFGM3': 7, 'WFGA3': 20, 'WFTM': 7, 'WFTA': 11, 'WOR': 14, 'WDR': 33, 'WAst': 18, 'WTO': 11, 'WStl': 5, 'WBlk': 3, 'WPF': 18, 'LFGM': 25, 'LFGA': 74, 'LFGM3': 9, 'LFGA3': 17, 'LFTM': 11, 'LFTA': 21, 'LOR': 21, 'LDR': 32, 'LAst': 12, 'LTO': 14, 'LStl': 4, 'LBlk': 2, 'LPF': 14}]            |
| m_tourney_detailed          |    1382 |        34 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT', 'WFGM', 'WFGA', 'WFGM3', 'WFGA3', 'WFTM', 'WFTA', 'WOR', 'WDR', 'WAst', 'WTO', 'WStl', 'WBlk', 'WPF', 'LFGM', 'LFGA', 'LFGM3', 'LFGA3', 'LFTM', 'LFTA', 'LOR', 'LDR', 'LAst', 'LTO', 'LStl', 'LBlk', 'LPF'] | [{'Season': 2003, 'DayNum': 134, 'WTeamID': 1421, 'WScore': 92, 'LTeamID': 1411, 'LScore': 84, 'WLoc': 'N', 'NumOT': 1, 'WFGM': 32, 'WFGA': 69, 'WFGM3': 11, 'WFGA3': 29, 'WFTM': 17, 'WFTA': 26, 'WOR': 14, 'WDR': 30, 'WAst': 17, 'WTO': 12, 'WStl': 5, 'WBlk': 3, 'WPF': 22, 'LFGM': 29, 'LFGA': 67, 'LFGM3': 12, 'LFGA3': 31, 'LFTM': 14, 'LFTA': 31, 'LOR': 17, 'LDR': 28, 'LAst': 16, 'LTO': 15, 'LStl': 5, 'LBlk': 0, 'LPF': 22}, {'Season': 2003, 'DayNum': 136, 'WTeamID': 1112, 'WScore': 80, 'LTeamID': 1436, 'LScore': 51, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 31, 'WFGA': 66, 'WFGM3': 7, 'WFGA3': 23, 'WFTM': 11, 'WFTA': 14, 'WOR': 11, 'WDR': 36, 'WAst': 22, 'WTO': 16, 'WStl': 10, 'WBlk': 7, 'WPF': 8, 'LFGM': 20, 'LFGA': 64, 'LFGM3': 4, 'LFGA3': 16, 'LFTM': 7, 'LFTA': 7, 'LOR': 8, 'LDR': 26, 'LAst': 12, 'LTO': 17, 'LStl': 10, 'LBlk': 3, 'LPF': 15}, {'Season': 2003, 'DayNum': 136, 'WTeamID': 1113, 'WScore': 84, 'LTeamID': 1272, 'LScore': 71, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 31, 'WFGA': 59, 'WFGM3': 6, 'WFGA3': 14, 'WFTM': 16, 'WFTA': 22, 'WOR': 10, 'WDR': 27, 'WAst': 18, 'WTO': 9, 'WStl': 7, 'WBlk': 4, 'WPF': 19, 'LFGM': 25, 'LFGA': 69, 'LFGM3': 7, 'LFGA3': 28, 'LFTM': 14, 'LFTA': 21, 'LOR': 20, 'LDR': 22, 'LAst': 11, 'LTO': 12, 'LStl': 2, 'LBlk': 5, 'LPF': 18}, {'Season': 2003, 'DayNum': 136, 'WTeamID': 1141, 'WScore': 79, 'LTeamID': 1166, 'LScore': 73, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 29, 'WFGA': 53, 'WFGM3': 3, 'WFGA3': 7, 'WFTM': 18, 'WFTA': 25, 'WOR': 11, 'WDR': 20, 'WAst': 15, 'WTO': 18, 'WStl': 13, 'WBlk': 1, 'WPF': 19, 'LFGM': 27, 'LFGA': 60, 'LFGM3': 7, 'LFGA3': 17, 'LFTM': 12, 'LFTA': 17, 'LOR': 14, 'LDR': 17, 'LAst': 20, 'LTO': 21, 'LStl': 6, 'LBlk': 6, 'LPF': 21}, {'Season': 2003, 'DayNum': 136, 'WTeamID': 1143, 'WScore': 76, 'LTeamID': 1301, 'LScore': 74, 'WLoc': 'N', 'NumOT': 1, 'WFGM': 27, 'WFGA': 64, 'WFGM3': 7, 'WFGA3': 20, 'WFTM': 15, 'WFTA': 23, 'WOR': 18, 'WDR': 20, 'WAst': 17, 'WTO': 13, 'WStl': 8, 'WBlk': 2, 'WPF': 14, 'LFGM': 25, 'LFGA': 56, 'LFGM3': 9, 'LFGA3': 21, 'LFTM': 15, 'LFTA': 20, 'LOR': 10, 'LDR': 26, 'LAst': 16, 'LTO': 14, 'LStl': 5, 'LBlk': 8, 'LPF': 19}] |
| w_tourney_detailed          |     894 |        34 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT', 'WFGM', 'WFGA', 'WFGM3', 'WFGA3', 'WFTM', 'WFTA', 'WOR', 'WDR', 'WAst', 'WTO', 'WStl', 'WBlk', 'WPF', 'LFGM', 'LFGA', 'LFGM3', 'LFGA3', 'LFTM', 'LFTA', 'LOR', 'LDR', 'LAst', 'LTO', 'LStl', 'LBlk', 'LPF'] | [{'Season': 2010, 'DayNum': 138, 'WTeamID': 3124, 'WScore': 69, 'LTeamID': 3201, 'LScore': 55, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 28, 'WFGA': 57, 'WFGM3': 1, 'WFGA3': 5, 'WFTM': 12, 'WFTA': 19, 'WOR': 13, 'WDR': 24, 'WAst': 22, 'WTO': 12, 'WStl': 6, 'WBlk': 2, 'WPF': 12, 'LFGM': 21, 'LFGA': 61, 'LFGM3': 10, 'LFGA3': 34, 'LFTM': 3, 'LFTA': 5, 'LOR': 17, 'LDR': 19, 'LAst': 12, 'LTO': 18, 'LStl': 4, 'LBlk': 1, 'LPF': 18}, {'Season': 2010, 'DayNum': 138, 'WTeamID': 3173, 'WScore': 67, 'LTeamID': 3395, 'LScore': 66, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 23, 'WFGA': 59, 'WFGM3': 9, 'WFGA3': 26, 'WFTM': 12, 'WFTA': 19, 'WOR': 13, 'WDR': 34, 'WAst': 13, 'WTO': 16, 'WStl': 3, 'WBlk': 10, 'WPF': 14, 'LFGM': 22, 'LFGA': 73, 'LFGM3': 8, 'LFGA3': 27, 'LFTM': 14, 'LFTA': 15, 'LOR': 18, 'LDR': 26, 'LAst': 8, 'LTO': 8, 'LStl': 8, 'LBlk': 6, 'LPF': 22}, {'Season': 2010, 'DayNum': 138, 'WTeamID': 3181, 'WScore': 72, 'LTeamID': 3214, 'LScore': 37, 'WLoc': 'H', 'NumOT': 0, 'WFGM': 26, 'WFGA': 57, 'WFGM3': 4, 'WFGA3': 13, 'WFTM': 16, 'WFTA': 22, 'WOR': 13, 'WDR': 34, 'WAst': 15, 'WTO': 11, 'WStl': 10, 'WBlk': 7, 'WPF': 11, 'LFGM': 15, 'LFGA': 56, 'LFGM3': 4, 'LFGA3': 15, 'LFTM': 3, 'LFTA': 8, 'LOR': 10, 'LDR': 21, 'LAst': 4, 'LTO': 16, 'LStl': 6, 'LBlk': 4, 'LPF': 20}, {'Season': 2010, 'DayNum': 138, 'WTeamID': 3199, 'WScore': 75, 'LTeamID': 3256, 'LScore': 61, 'WLoc': 'H', 'NumOT': 0, 'WFGM': 25, 'WFGA': 63, 'WFGM3': 3, 'WFGA3': 15, 'WFTM': 22, 'WFTA': 26, 'WOR': 20, 'WDR': 27, 'WAst': 13, 'WTO': 17, 'WStl': 8, 'WBlk': 3, 'WPF': 21, 'LFGM': 21, 'LFGA': 62, 'LFGM3': 2, 'LFGA3': 20, 'LFTM': 17, 'LFTA': 22, 'LOR': 16, 'LDR': 21, 'LAst': 13, 'LTO': 16, 'LStl': 5, 'LBlk': 4, 'LPF': 24}, {'Season': 2010, 'DayNum': 138, 'WTeamID': 3207, 'WScore': 62, 'LTeamID': 3265, 'LScore': 42, 'WLoc': 'N', 'NumOT': 0, 'WFGM': 24, 'WFGA': 68, 'WFGM3': 8, 'WFGA3': 25, 'WFTM': 6, 'WFTA': 8, 'WOR': 20, 'WDR': 29, 'WAst': 16, 'WTO': 8, 'WStl': 5, 'WBlk': 5, 'WPF': 18, 'LFGM': 13, 'LFGA': 60, 'LFGM3': 5, 'LFGA3': 26, 'LFTM': 11, 'LFTA': 17, 'LOR': 16, 'LDR': 22, 'LAst': 9, 'LTO': 10, 'LStl': 3, 'LBlk': 4, 'LPF': 12}]         |
| cities                      |     502 |         3 |                0 |                0 | ['CityID', 'City', 'State']                                                                                                                                                                                                                                                                 | [{'CityID': 4001, 'City': 'Abilene', 'State': 'TX'}, {'CityID': 4002, 'City': 'Akron', 'State': 'OH'}, {'CityID': 4003, 'City': 'Albany', 'State': 'NY'}, {'CityID': 4004, 'City': 'Albuquerque', 'State': 'NM'}, {'CityID': 4005, 'City': 'Allentown', 'State': 'PA'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| m_game_cities               |   85534 |         6 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'LTeamID', 'CRType', 'CityID']                                                                                                                                                                                                                              | [{'Season': 2010, 'DayNum': 7, 'WTeamID': 1143, 'LTeamID': 1293, 'CRType': 'Regular', 'CityID': 4027}, {'Season': 2010, 'DayNum': 7, 'WTeamID': 1314, 'LTeamID': 1198, 'CRType': 'Regular', 'CityID': 4061}, {'Season': 2010, 'DayNum': 7, 'WTeamID': 1326, 'LTeamID': 1108, 'CRType': 'Regular', 'CityID': 4080}, {'Season': 2010, 'DayNum': 7, 'WTeamID': 1393, 'LTeamID': 1107, 'CRType': 'Regular', 'CityID': 4340}, {'Season': 2010, 'DayNum': 9, 'WTeamID': 1143, 'LTeamID': 1178, 'CRType': 'Regular', 'CityID': 4027}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| w_game_cities               |   82329 |         6 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'LTeamID', 'CRType', 'CityID']                                                                                                                                                                                                                              | [{'Season': 2010, 'DayNum': 11, 'WTeamID': 3103, 'LTeamID': 3237, 'CRType': 'Regular', 'CityID': 4002}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3104, 'LTeamID': 3399, 'CRType': 'Regular', 'CityID': 4085}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3110, 'LTeamID': 3224, 'CRType': 'Regular', 'CityID': 4363}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3111, 'LTeamID': 3267, 'CRType': 'Regular', 'CityID': 4158}, {'Season': 2010, 'DayNum': 11, 'WTeamID': 3119, 'LTeamID': 3447, 'CRType': 'Regular', 'CityID': 4367}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| massey_ordinals             | 5489117 |         5 |                0 |                0 | ['Season', 'RankingDayNum', 'SystemName', 'TeamID', 'OrdinalRank']                                                                                                                                                                                                                          | [{'Season': 2003, 'RankingDayNum': 35, 'SystemName': 'SEL', 'TeamID': 1102, 'OrdinalRank': 159}, {'Season': 2003, 'RankingDayNum': 35, 'SystemName': 'SEL', 'TeamID': 1103, 'OrdinalRank': 229}, {'Season': 2003, 'RankingDayNum': 35, 'SystemName': 'SEL', 'TeamID': 1104, 'OrdinalRank': 12}, {'Season': 2003, 'RankingDayNum': 35, 'SystemName': 'SEL', 'TeamID': 1105, 'OrdinalRank': 314}, {'Season': 2003, 'RankingDayNum': 35, 'SystemName': 'SEL', 'TeamID': 1106, 'OrdinalRank': 260}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| m_team_coaches              |   13533 |         5 |                0 |                0 | ['Season', 'TeamID', 'FirstDayNum', 'LastDayNum', 'CoachName']                                                                                                                                                                                                                              | [{'Season': 1985, 'TeamID': 1102, 'FirstDayNum': 0, 'LastDayNum': 154, 'CoachName': 'reggie_minton'}, {'Season': 1985, 'TeamID': 1103, 'FirstDayNum': 0, 'LastDayNum': 154, 'CoachName': 'bob_huggins'}, {'Season': 1985, 'TeamID': 1104, 'FirstDayNum': 0, 'LastDayNum': 154, 'CoachName': 'wimp_sanderson'}, {'Season': 1985, 'TeamID': 1106, 'FirstDayNum': 0, 'LastDayNum': 154, 'CoachName': 'james_oliver'}, {'Season': 1985, 'TeamID': 1108, 'FirstDayNum': 0, 'LastDayNum': 154, 'CoachName': 'davey_whitney'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| conferences                 |      51 |         2 |                0 |                0 | ['ConfAbbrev', 'Description']                                                                                                                                                                                                                                                               | [{'ConfAbbrev': 'a_sun', 'Description': 'Atlantic Sun Conference'}, {'ConfAbbrev': 'a_ten', 'Description': 'Atlantic 10 Conference'}, {'ConfAbbrev': 'aac', 'Description': 'American Athletic Conference'}, {'ConfAbbrev': 'acc', 'Description': 'Atlantic Coast Conference'}, {'ConfAbbrev': 'aec', 'Description': 'America East Conference'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| m_team_conferences          |   13388 |         3 |                0 |                0 | ['Season', 'TeamID', 'ConfAbbrev']                                                                                                                                                                                                                                                          | [{'Season': 1985, 'TeamID': 1102, 'ConfAbbrev': 'wac'}, {'Season': 1985, 'TeamID': 1103, 'ConfAbbrev': 'ovc'}, {'Season': 1985, 'TeamID': 1104, 'ConfAbbrev': 'sec'}, {'Season': 1985, 'TeamID': 1106, 'ConfAbbrev': 'swac'}, {'Season': 1985, 'TeamID': 1108, 'ConfAbbrev': 'swac'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| w_team_conferences          |    9490 |         3 |                0 |                0 | ['Season', 'TeamID', 'ConfAbbrev']                                                                                                                                                                                                                                                          | [{'Season': 1998, 'TeamID': 3102, 'ConfAbbrev': 'wac'}, {'Season': 1998, 'TeamID': 3103, 'ConfAbbrev': 'mac'}, {'Season': 1998, 'TeamID': 3104, 'ConfAbbrev': 'sec'}, {'Season': 1998, 'TeamID': 3106, 'ConfAbbrev': 'swac'}, {'Season': 1998, 'TeamID': 3108, 'ConfAbbrev': 'swac'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| m_conf_tourney_games        |    6491 |         5 |                0 |                0 | ['Season', 'ConfAbbrev', 'DayNum', 'WTeamID', 'LTeamID']                                                                                                                                                                                                                                    | [{'Season': 2001, 'ConfAbbrev': 'a_sun', 'DayNum': 121, 'WTeamID': 1194, 'LTeamID': 1144}, {'Season': 2001, 'ConfAbbrev': 'a_sun', 'DayNum': 121, 'WTeamID': 1416, 'LTeamID': 1240}, {'Season': 2001, 'ConfAbbrev': 'a_sun', 'DayNum': 122, 'WTeamID': 1209, 'LTeamID': 1194}, {'Season': 2001, 'ConfAbbrev': 'a_sun', 'DayNum': 122, 'WTeamID': 1359, 'LTeamID': 1239}, {'Season': 2001, 'ConfAbbrev': 'a_sun', 'DayNum': 122, 'WTeamID': 1391, 'LTeamID': 1273}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| w_conf_tourney_games        |    6113 |         5 |                0 |                0 | ['Season', 'ConfAbbrev', 'DayNum', 'WTeamID', 'LTeamID']                                                                                                                                                                                                                                    | [{'Season': 2002, 'ConfAbbrev': 'a_sun', 'DayNum': 129, 'WTeamID': 3194, 'LTeamID': 3144}, {'Season': 2002, 'ConfAbbrev': 'a_sun', 'DayNum': 129, 'WTeamID': 3209, 'LTeamID': 3407}, {'Season': 2002, 'ConfAbbrev': 'a_sun', 'DayNum': 129, 'WTeamID': 3273, 'LTeamID': 3125}, {'Season': 2002, 'ConfAbbrev': 'a_sun', 'DayNum': 129, 'WTeamID': 3391, 'LTeamID': 3416}, {'Season': 2002, 'ConfAbbrev': 'a_sun', 'DayNum': 130, 'WTeamID': 3194, 'LTeamID': 3273}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| m_secondary_tourney_teams   |    1836 |         3 |                0 |                0 | ['Season', 'SecondaryTourney', 'TeamID']                                                                                                                                                                                                                                                    | [{'Season': 1985, 'SecondaryTourney': 'NIT', 'TeamID': 1108}, {'Season': 1985, 'SecondaryTourney': 'NIT', 'TeamID': 1133}, {'Season': 1985, 'SecondaryTourney': 'NIT', 'TeamID': 1139}, {'Season': 1985, 'SecondaryTourney': 'NIT', 'TeamID': 1145}, {'Season': 1985, 'SecondaryTourney': 'NIT', 'TeamID': 1151}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| w_secondary_tourney_teams   |     824 |         3 |                0 |                0 | ['Season', 'SecondaryTourney', 'TeamID']                                                                                                                                                                                                                                                    | [{'Season': 2013, 'SecondaryTourney': 'WBI', 'TeamID': 3125}, {'Season': 2013, 'SecondaryTourney': 'WBI', 'TeamID': 3158}, {'Season': 2013, 'SecondaryTourney': 'WBI', 'TeamID': 3178}, {'Season': 2013, 'SecondaryTourney': 'WBI', 'TeamID': 3184}, {'Season': 2013, 'SecondaryTourney': 'WBI', 'TeamID': 3189}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| m_secondary_tourney_results |    1809 |         9 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT', 'SecondaryTourney']                                                                                                                                                                                         | [{'Season': 1985, 'DayNum': 136, 'WTeamID': 1151, 'WScore': 67, 'LTeamID': 1155, 'LScore': 65, 'WLoc': 'H', 'NumOT': 0, 'SecondaryTourney': 'NIT'}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1153, 'WScore': 77, 'LTeamID': 1245, 'LScore': 61, 'WLoc': 'H', 'NumOT': 0, 'SecondaryTourney': 'NIT'}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1201, 'WScore': 79, 'LTeamID': 1365, 'LScore': 76, 'WLoc': 'H', 'NumOT': 0, 'SecondaryTourney': 'NIT'}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1231, 'WScore': 79, 'LTeamID': 1139, 'LScore': 57, 'WLoc': 'H', 'NumOT': 0, 'SecondaryTourney': 'NIT'}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1249, 'WScore': 78, 'LTeamID': 1222, 'LScore': 71, 'WLoc': 'H', 'NumOT': 0, 'SecondaryTourney': 'NIT'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
